Sample,Group,Pair,Plot,Treatment,Road,Date,Hours,Hymenoptera,Coleoptera,Diptera,Total,Pompilidae,Ichneumonidae,Braconidae,Diaprioidea,Chalcidoidea,OtherParasitoids,Staphylinidae,Carabidae,Asilidae,Tachinidae,Formicidae,study.day,Total.Daily,log.Total
6,South,D,ALAN VIII,Illuminated,Yes,7/20/2021,92.53,20,1,0,21,0,8,3,6,1,1,0,1,0,0,1,50,5.448,1.697082422
7,South,D,ALAN VIII,Illuminated,Yes,7/23/2021,71.1,47,7,0,54,7,17,1,20,0,2,7,0,0,0,0,53,18.228,2.90350733
8,South,D,ALAN VIII,Illuminated,Yes,7/27/2021,96.92,27,1,0,28,3,3,1,11,2,7,1,0,0,0,0,57,6.9336,1.937820372
1,North,A,Control II,Control,No,6/8/2021,24.92,3,1,0,4,0,1,0,2,0,0,1,0,0,0,0,8,3.852,1.351185184
2,North,A,Control II,Control,No,6/21/2021,147.67,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0.324,-1.096614286
4,North,A,Control II,Control,No,7/10/2021,123.42,19,6,1,26,1,4,0,13,0,1,6,0,1,0,0,40,5.0568,1.622709455
5,North,A,Control II,Control,No,7/16/2021,144.87,15,0,0,15,0,4,4,6,0,1,0,0,0,0,0,46,2.484,0.913887847
6,North,A,Control II,Control,No,7/20/2021,92.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0.2592,-1.312300681
7,North,A,Control II,Control,No,7/23/2021,71.62,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,53,0.6696,-0.386250889
8,North,A,Control II,Control,No,7/27/2021,96.97,3,0,0,3,0,1,0,1,0,1,0,0,0,0,0,57,0.7416,-0.285551011
1,North,B,Control IV,Control,Yes,6/8/2021,24.85,10,1,0,11,0,5,0,2,2,0,0,1,0,0,0,8,10.6248,2.364131643
2,North,B,Control IV,Control,Yes,6/21/2021,147.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,0.1632,-1.753308283
4,North,B,Control IV,Control,Yes,7/10/2021,123.72,11,0,0,11,0,5,0,1,4,1,0,0,0,0,0,40,2.1336,0.762486659
5,North,B,Control IV,Control,Yes,7/16/2021,144.67,6,0,0,6,0,0,0,4,2,0,0,0,0,0,0,46,0.996,0.005982072
6,North,B,Control IV,Control,Yes,7/20/2021,92.43,6,1,0,7,0,5,0,1,0,0,1,0,0,0,0,50,1.8168,0.602565802
7,North,B,Control IV,Control,Yes,7/23/2021,72.98,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,53,0.6576,-0.404066087
8,North,B,Control IV,Control,Yes,7/27/2021,95.32,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,57,0.504,-0.665532014
1,South,C,Control V,Control,Yes,6/8/2021,24.92,14,5,0,19,0,8,2,4,0,0,5,0,0,0,0,8,18.2976,2.907316274
2,South,C,Control V,Control,Yes,6/21/2021,147.6,2,1,0,3,0,1,0,1,0,0,0,1,0,0,0,21,0.4872,-0.698762919
4,South,C,Control V,Control,Yes,7/10/2021,121.53,23,1,0,24,1,4,0,17,0,1,1,0,0,0,0,40,4.74,1.558144618
5,South,C,Control V,Control,Yes,7/16/2021,145.5,19,5,0,24,0,1,0,15,2,1,5,0,0,0,0,46,3.9576,1.378161378
6,South,C,Control V,Control,Yes,7/20/2021,92.53,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,50,0.5184,-0.637901706
7,South,C,Control V,Control,Yes,7/23/2021,71.85,10,0,0,10,0,1,0,8,1,0,0,0,0,0,0,53,3.3408,1.209199123
8,South,C,Control V,Control,Yes,7/27/2021,97,3,0,0,3,1,0,0,2,0,0,0,0,0,0,0,57,0.7416,-0.285551011
1,South,D,Control VII,Control,No,6/8/2021,24.85,11,1,0,12,1,4,0,5,1,0,1,0,0,0,0,8,11.5896,2.450970615
2,South,D,Control VII,Control,No,6/21/2021,147.58,24,27,0,51,1,9,0,11,2,1,27,0,0,0,0,21,8.2944,2.116785495
4,South,D,Control VII,Control,No,7/10/2021,121.75,20,10,0,30,1,9,0,9,0,1,9,0,0,0,0,40,5.9136,1.778944372
5,South,D,Control VII,Control,No,7/16/2021,145.2,9,4,0,13,1,4,0,2,1,1,1,0,0,0,0,46,2.148,0.769181867
6,South,D,Control VII,Control,No,7/20/2021,92.55,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,50,0.5184,-0.637901706
7,South,D,Control VII,Control,No,7/23/2021,71.33,32,7,1,41,8,6,0,17,0,1,7,0,0,1,0,53,13.7952,2.625045333
8,South,D,Control VII,Control,No,7/27/2021,96.95,22,3,0,25,3,5,0,14,0,0,3,0,0,0,0,57,6.1896,1.824484774
